2026-07-12 12:26:21,967 | INFO | reranker | Loading cross-encoder reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-07-12 12:26:33,064 | INFO | _client | HTTP Request: GET https://huggingface.co/api/models/cross-encoder/ms-marco-MiniLM-L-6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
2026-07-12 12:26:33,332 | INFO | _client | HTTP Request: GET https://huggingface.co/api/models/cross-encoder/ms-marco-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-12 12:26:33,591 | INFO | reranker | Ranked 5 chunks down to top 3
2026-07-12 12:26:34,193 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:34,215 | INFO | rag | RAG query answered using 3 chunks from ['Sarvam AI JD']
2026-07-12 12:26:34,804 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:34,928 | INFO | reranker | Ranked 5 chunks down to top 3
2026-07-12 12:26:35,624 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:35,626 | INFO | rag | RAG query answered using 3 chunks from ['Sarvam AI JD']
2026-07-12 12:26:36,239 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:36,313 | INFO | reranker | Ranked 1 chunks down to top 3
2026-07-12 12:26:36,750 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:36,751 | INFO | rag | RAG query answered using 1 chunks from ['Razorpay JD']
2026-07-12 12:26:37,446 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:38,028 | INFO | reranker | Ranked 4 chunks down to top 3
2026-07-12 12:26:38,490 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:38,491 | INFO | rag | RAG query answered using 3 chunks from ['Haptik JD']
2026-07-12 12:26:39,207 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:39,305 | INFO | reranker | Ranked 1 chunks down to top 3
2026-07-12 12:26:39,548 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:39,550 | INFO | rag | RAG query answered using 1 chunks from ['Razorpay JD']
2026-07-12 12:26:40,141 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:40,275 | INFO | reranker | Ranked 5 chunks down to top 3
2026-07-12 12:26:40,672 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:40,673 | INFO | rag | RAG query answered using 3 chunks from ['Sarvam AI JD']
2026-07-12 12:26:41,313 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:41,418 | INFO | reranker | Ranked 1 chunks down to top 3
2026-07-12 12:26:41,768 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:41,771 | INFO | rag | RAG query answered using 1 chunks from ['Freshworks JD']
2026-07-12 12:26:42,384 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:42,642 | INFO | reranker | Ranked 6 chunks down to top 3
2026-07-12 12:26:43,025 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:43,028 | INFO | rag | RAG query answered using 3 chunks from ['My Resume']
2026-07-12 12:26:43,817 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:44,009 | INFO | reranker | Ranked 6 chunks down to top 3
2026-07-12 12:26:44,429 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:44,430 | INFO | rag | RAG query answered using 3 chunks from ['My Resume']
2026-07-12 12:26:45,045 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:45,101 | INFO | reranker | Ranked 5 chunks down to top 3
2026-07-12 12:26:45,350 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:45,352 | INFO | rag | RAG query answered using 3 chunks from ['Sarvam AI JD']
2026-07-12 12:26:45,966 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:46,037 | INFO | reranker | Ranked 1 chunks down to top 3
2026-07-12 12:26:46,270 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:46,271 | INFO | rag | RAG query answered using 1 chunks from ['Freshworks JD']
2026-07-12 12:26:46,785 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:46,821 | INFO | reranker | Ranked 1 chunks down to top 3
2026-07-12 12:26:47,297 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:47,298 | INFO | rag | RAG query answered using 1 chunks from ['Razorpay JD']
2026-07-12 12:26:47,809 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:48,031 | INFO | reranker | Ranked 6 chunks down to top 3
2026-07-12 12:26:48,526 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-12 12:26:48,527 | INFO | rag | RAG query answered using 3 chunks from ['My Resume']
2026-07-12 12:26:49,345 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
